groupId,artifactId,mcrTags
org.eclipse.xtext,org.eclipse.xtext.web,"eclipse,web"
org.osgi,org.osgi.service.cdi,"service,osgi"
org.apache.dubbo,dubbo-remoting-mina,"network,socket,remote,apache"
org.talend.esb.auxiliary.storage,auxiliary-storage-client-common,"esb,client,storage"
com.ruoyi,ruoyi-quartz,scheduling
org.openhab.addons.bundles,org.openhab.binding.irobot,"binding,bundle"
com.amazon.alexa,ask-sdk-apache-client,"amazon,sdk,apache,client"
org.apache.cxf,cxf-rt-rs-security-xml,"security,apache,xml"
org.apache.logging.log4j,log4j-spring-cloud-config-client,"logging,spring,config,cloud,apache,client"
org.apache.james,james-server-data-jmap,"server,data,apache,mail"
org.apache.kylin,kylin-core-metrics,"apache,metrics"
org.apache.cxf,cxf-tools-wadlto-jaxrs,"rest,tools,apache,jaxrs"
com.typesafe.akka,akka-persistence_2.11,"actor,persistence,akka,distributed,concurrency,typesafe"
org.jvnet.sorcerer,sorcerer-javac,"compiler,parser,java"
edu.washington.cs.knowitall.stanford-corenlp,stanford-parse-models,"nlp,model"
com.typesafe.akka,akka-persistence_2.13,"actor,persistence,akka,distributed,concurrency,typesafe"
com.alibaba.middleware,cli,command-line
io.syndesis.connector,connector-gmail,"connector,io"
org.apache.camel.quarkus,camel-quarkus-xmpp,"apache,xmpp,camel"
org.hsqldb,hsqldb-j5,"database,hsql"
org.glassfish.hk2,osgi-adapter,osgi
io.quarkus,quarkus-websockets-client,"websocket,client,io"
org.apache.camel,camel-aws2-kms,"aws,amazon,apache,camel"
org.bytedeco,qt-platform,platform
org.meteothink,meteoinfo-chart,"visualization,chart"
javax.transaction,transaction-api,"standard,javax,api,transaction,specs"
org.apache.maven.wagon,wagon-provider-api,"provider,build,build-system,maven,apache,api"
org.apache.flink,flink-connector-twitter,"apache,connector,twitter"
org.eclipse.microprofile.config,microprofile-config-api,"eclipse,config,api"
org.netbeans.modules,org-netbeans-lib-profiler,"module,ide,profiling,library,netbeans"
org.apache.knox,gateway-admin-ui,"admin,gateway,ui,apache"
edu.berkeley.nlp,berkeleyparser,nlp
org.wso2.carbon.devicemgt-plugins,org.wso2.carbon.device.mgt.mobile,"plugin,management,mobile,device"
org.jboss.errai,errai-codegen,jboss
com.google.cloud.bigtable,bigtable-hbase-1.x,"database,google,cloud,hbase"
com.chinamobile.cmos,sms-core,sms
org.wildfly.swarm,rxjava,reactive
co.paralleluniverse,quasar-reactive-streams,"streaming,reactive"
com.github.rwitzel.streamflyer,streamflyer-core,github
org.apache.cxf,cxf-rt-rs-extension-reactivestreams,"apache,extension"
com.google.cloud,google-cloud-iamcredentials,"google,cloud"
net.serenity-bdd,serenity-junit,"junit,testing"
ru.yandex.clickhouse,clickhouse-jdbc,"sql,jdbc"
io.apicurio,apicurio-registry-common,"registry,io"
org.locationtech.geomesa,geomesa-jobs-accumulo1.5,accumulo
org.apache.hadoop,hadoop-client-integration-tests,"integration,testing,hadoop,apache,client"
com.auth0,java-jwt,"security,json,authentication,jwt"
io.nflow,nflow-rest-api-jax-rs,"rest,io,api"
de.learnlib.archetypes,basic,"archetype,maven"
io.gravitee.policy,gravitee-policy-api,"io,api,policy"
de.tudarmstadt.ukp.inception.app,inception-external-search-elastic,"elastic,search"
com.facebook.presto,presto-function-namespace-managers,"facebook,manager"
org.openhab.binding,org.openhab.binding.enocean,"plugin,binding,eclipse"
com.spotify,styx-api-service,"service,api"
org.openhab.addons.bundles,org.openhab.binding.tellstick,"binding,bundle"
io.quarkus,quarkus-mailer-deployment,"deployment,io"
org.jboss.netty,netty,"jboss,network,netty,socket"
org.sakaiproject.edu-services.course-management,coursemanagement-api,"service,management,api"
org.apache.karaf,org.apache.karaf.client,"apache,client,osgi"
org.apache.servicecomb,handler-publickey-auth,"authentication,apache"
org.apache.openejb,arquillian-tomee-remote,"ejb,remote,apache"
io.cloudslang.lang,cloudslang-runtime,"io,runtime"
javax.xml,jaxrpc,"xml,javax,specs,standard"
io.spring.javaformat,spring-javaformat-formatter,"spring,io"
io.joyrpc,joyrpc-trace-skywalking,"io,tracing"
org.webjars.npm,jquery-slim,"assets,web,jquery"
org.neo4j,server-api,"database,server,graph,neo4j,api"
org.apache.camel.quarkus,camel-quarkus-jt400-deployment,"deployment,apache,camel"
org.glassfish.gmbal,gmbal-api-only-source,api
