repositoryName,mcrTags
apache/camel,"[admin,amazon,amqp,analysis,annotations,ant,aop,apache,api,archetype,aspect,assertion,asynchronous,authentication,avro,aws,azure,barcode,base64,batch,beans,binding,bpm,bridge,broker,build,build-system,builder,bundle,cache,calendar,camel,cassandra,cbor,cli,client,cloud,cluster,codec,codehaus,collections,command,commons,communication,compatibility,compiler,compression,concurrency,config,connector,consul,container,coordination,couchdb,cron,cryptography,csv,data,database,dataset,debug,defect,dependency-injection,description,descriptor,digitalocean,directory,discovery,disruptor,distributed,dns,docker,driver,dsl,eclipse,elastic,elasticsearch,embedded,encoding,engine,esb,etcd,eventbus,execution,expression,extension,external,facebook,framework,frontend,ftp,generator,geo,git,github,google,graphql,groovy,grpc,hadoop,hazelcast,hbase,hibernate,hsql,html,http,index,influxdb,integration,interface,io,javax,jaxrs,jdbc,jetty,jms,jmx,jpa,json,junit,jvm,kafka,kotlin,kubernetes,lambda,language,ldap,leveldb,library,logging,lucene,machine-learning,mail,management,manager,mapping,matching,maven,message,messaging,metadata,metrics,mime,mock,mocking,model,module,mongodb,monitoring,mqtt,mustache,mysql,netty,network,nosql,oauth,openstack,orm,parser,pdf,persistence,platform,plugin,policy,pool,pooling,postgresql,process,processor,protocol,provider,proxy,quality,query,queue,rabbitmq,rdf,reactive,redis,relational,remoting,render,reporting,resource,rest,rpc,rss,runtime,s3,salesforce,scala,scheduling,scm,sdk,search,security,serialization,server,service,servlet,slf4j,smpp,sms,snmp,soap,socket,solr,spark,specs,spring,sql,ssh,standard,starter,storage,streaming,structures,stub,support,swagger,syndication,syslog,tabular,telephony,template,testing,thrift,tomcat,tools,tracing,transaction,transport,tree,twitter,validation,vertx,weather,web,webserver,webservice,websocket,xml,xmpp,xslt,yaml,zookeeper]"
ejlchina/bean-searcher,"[annotation,api,beans,config,jdbc,junit,logging,processor,slf4j,spring,sql,starter,testing]"
apache/rya,"[accumulo,analysis,analyzer,annotations,apache,api,base64,beans,benchmark,bigdata,binary,bridge,broker,build,build-system,cache,camel,cli,client,cluster,codec,codehaus,command-line,commons,compiler,computing,console,coordination,data,database,date,defect,dependency-injection,distributed,driver,eclipse,embedded,encoding,evaluation,export,file-system,framework,full-text,generator,geo,github,google,graph,hadoop,http,index,indexing,integration,io,json,junit,kafka,logging,lucene,managment,manifest,mapreduce,matching,math,maven,message,metadata,mock,mocking,model,module,mongodb,mvc,nosql,notification,osgi,parallel,parser,performance,plugin,pooling,protocol,query,rdf,repository,runtime,security,serialization,service,shell,slf4j,social,spark,sparql,spring,storage,streaming,testing,text,thrift,time,tools,twitter,web,yarn,zookeeper]"
deeplearning4j/oreilly-book-dl4j-examples,"[apache,api,cli,client,codec,data,deep-learning,google,http,junit,logging,machine-learning,native,nlp,parallel,parser,platform,testing,ui,visualization]"
ProgrammerAnthony/SentinelC,"[annotations,aop,apache,api,aspect,assertion,benchmark,binding,bridge,client,cloud,cluster,codehaus,collections,communication,config,consul,coordination,data,database,datasource,dependency-injection,distributed,embedded,etcd,exception,export,expression,extension,framework,gateway,generator,github,google,groovy,grpc,http,image,io,javax,jboss,json,junit,language,logging,matching,mock,mocking,module,mvc,native,netty,network,performance,protocol,quality,queue,reactive,redis,remoting,rest,rpc,rules,serialization,server,servlet,slf4j,socket,specs,spring,standard,starter,structures,stub,support,system,testing,transport,web,xml,yaml,zookeeper]"
alibaba/spring-context-support,"[dependency-injection,junit,spring,testing]"
snakerflow/snakerflow,"[aop,api,aspect,beans,bridge,bytecode,cache,codehaus,connector,database,date,dependency-injection,driver,embedded,expression,hibernate,javax,jdbc,json,junit,language,logging,mapping,mysql,orm,persistence,pool,pooling,reflection,relational,scheduling,slf4j,specs,spring,sql,standard,testing,time,transaction]"
infinispan/infinispan,"[agent,amazon,analysis,analytics,analyzer,annotation,annotations,ant,aop,apache,api,appserver,aspect,assertion,authentication,avro,aws,azure,beans,benchmark,binding,bridge,buffer,build,build-system,bytecode,cache,cli,client,cloud,cluster,codec,codehaus,command-line,commons,communication,compiler,compression,computing,config,connector,console,container,coverage,database,defect,dependency-injection,descriptor,directory,distributed,dom,driver,dsl,eclipse,ejb,embedded,encryption,engine,example,expression,framework,full-text,generator,github,google,hibernate,html,http,ibm,index,indexing,integration,interface,io,javaee,javax,jboss,jdbc,jms,jmx,jpa,json,junit,kubernetes,language,ldap,library,linux,locking,logging,lucene,management,mapping,matching,math,maven,memcached,metadata,metrics,mock,mocking,mysql,naming,native,netty,network,oauth,osgi,parser,performance,persistence,plugin,pojo,pool,pooling,postgresql,processing,processor,protocol,quality,query,queue,reactive,reflection,registry,relational,remote,remoting,rest,rocksdb,routing,runtime,s3,scripting,sdk,search,security,serialization,server,service,slf4j,socket,specs,spring,sql,sqlite,ssl,standard,starter,stats,storage,stream,streaming,support,testing,testng,thrift,token,tools,tracing,transaction,transport,unix,web,x86,xml,yaml]"
hyperledger/fabric-sdk-java,"[annotations,apache,api,binding,bridge,cli,client,command-line,commons,compression,config,cryptography,extension,google,grpc,http,instrumentation,io,javax,json,junit,logging,mime,mock,mocking,netty,network,parser,protocol,rpc,sdk,serialization,server,socket,specs,standard,stub,testing,tomcat,webserver,xml,yaml]"
locationtech/geowave,"[accumulo,amazon,analysis,analytics,annotations,apache,api,authentication,avro,aws,base64,beans,binary,binding,bridge,broker,buffer,bytecode,cache,cassandra,cbor,cli,client,cloud,codec,codehaus,collections,command,command-line,commons,compatibility,compiler,compression,computing,console,container,coordination,csv,data,database,defect,dependency-injection,deployment,distributed,dynamodb,eclipse,embedded,encoding,encryption,example,execution,expression,external,file-system,framework,geo,geometry,github,google,grpc,hadoop,hbase,hsql,http,index,io,javax,jetty,json,junit,jvm,kafka,language,library,logging,mapping,mapreduce,math,memory,message,metadata,mock,mocking,module,monitor,native,netty,network,nosql,oauth,off-heap,osgi,parallel,parser,persistence,platform,pooling,process,processing,protocol,proxy,python,redis,reflection,render,rest,rocksdb,rpc,rules,runtime,s3,scala,sdk,security,serialization,server,service,servlet,shell,slf4j,socket,spark,specs,spring,sql,ssh,standard,storage,stream,streaming,structures,stub,swagger,system,tabular,terminal,testing,text,thrift,transport,twitter,vfs,web,webapp,webserver,webservice,xml,yaml,zookeeper]"
