dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.hamcrest:hamcrest-all,org.junit.jupiter:junit-jupiter,9,236,157,0.04,0.06,0.06
org.hibernate:hibernate-entitymanager,org.openjdk.jmh:jmh-core,5,108,215,0.05,0.02,0.05
org.slf4j:jul-to-slf4j,org.springframework.boot:spring-boot-starter-web,19,153,145,0.12,0.13,0.13
org.slf4j:jul-to-slf4j,xerces:xercesImpl,15,153,113,0.1,0.13,0.13
org.slf4j:jul-to-slf4j,org.yaml:snakeyaml,34,153,274,0.22,0.12,0.22
javax.servlet:jstl,org.springframework:spring-context,62,124,435,0.5,0.14,0.5
com.squareup.okhttp3:okhttp,org.slf4j:slf4j-jdk14,9,232,110,0.04,0.08,0.08
com.squareup.okhttp3:okhttp,org.aspectj:aspectjweaver,34,232,171,0.15,0.2,0.2
com.squareup.okhttp3:okhttp,org.hibernate:hibernate-core,23,232,191,0.1,0.12,0.12
com.squareup.okhttp3:okhttp,org.apache.poi:poi,13,232,138,0.06,0.09,0.09
ch.qos.logback:logback-core,com.google.guava:guava,136,227,1199,0.6,0.11,0.6
com.google.guava:guava,commons-io:commons-io,553,1199,1059,0.46,0.52,0.52
javax.servlet:javax.servlet-api,org.apache.thrift:libthrift,33,491,104,0.07,0.32,0.32
javax.inject:javax.inject,org.apache.lucene:lucene-core,19,189,140,0.1,0.14,0.14
javax.inject:javax.inject,org.antlr:antlr4-runtime,21,189,116,0.11,0.18,0.18
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.freemarker:freemarker,9,110,153,0.08,0.06,0.08
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.codehaus.jackson:jackson-mapper-asl,9,110,155,0.08,0.06,0.08
org.hamcrest:hamcrest-core,org.springframework:spring-tx,24,219,172,0.11,0.14,0.14
commons-beanutils:commons-beanutils,org.seleniumhq.selenium:selenium-java,20,281,100,0.07,0.2,0.2
com.sun.xml.bind:jaxb-impl,org.apache.zookeeper:zookeeper,17,162,193,0.1,0.09,0.1
com.google.protobuf:protobuf-java,commons-collections:commons-collections,52,270,284,0.19,0.18,0.19
com.google.protobuf:protobuf-java,org.reflections:reflections,29,270,172,0.11,0.17,0.17
com.google.inject:guice,org.eclipse.jetty:jetty-webapp,32,192,164,0.17,0.2,0.2
com.google.inject:guice,org.quartz-scheduler:quartz,21,192,141,0.11,0.15,0.15
org.bouncycastle:bcpkix-jdk15on,org.eclipse.jetty:jetty-webapp,34,155,164,0.22,0.21,0.22
org.junit.jupiter:junit-jupiter-api,org.springframework.boot:spring-boot-starter-web,23,288,145,0.08,0.16,0.16
org.mockito:mockito-junit-jupiter,org.slf4j:log4j-over-slf4j,18,118,125,0.15,0.14,0.15
org.mockito:mockito-all,xerces:xercesImpl,19,367,113,0.05,0.17,0.17
com.googlecode.json-simple:json-simple,org.apache.logging.log4j:log4j-api,27,157,321,0.17,0.08,0.17
com.googlecode.json-simple:json-simple,commons-net:commons-net,27,157,129,0.17,0.21,0.21
org.apache.kafka:kafka-clients,org.mockito:mockito-junit-jupiter,15,162,118,0.09,0.13,0.13
org.apache.kafka:kafka-clients,org.springframework:spring-orm,9,162,126,0.06,0.07,0.07
org.apache.kafka:kafka-clients,org.apache.logging.log4j:log4j-core,58,162,397,0.36,0.15,0.36
jakarta.xml.bind:jakarta.xml.bind-api,org.projectlombok:lombok,12,114,435,0.11,0.03,0.11
jakarta.xml.bind:jakarta.xml.bind-api,org.slf4j:jul-to-slf4j,18,114,153,0.16,0.12,0.16
com.jayway.jsonpath:json-path,org.aspectj:aspectjweaver,16,129,171,0.12,0.09,0.12
junit:junit,org.reflections:reflections,126,2290,172,0.06,0.73,0.73
org.apache.logging.log4j:log4j-core,org.freemarker:freemarker,29,397,153,0.07,0.19,0.19
commons-lang:commons-lang,io.netty:netty-handler,19,444,117,0.04,0.16,0.16
commons-lang:commons-lang,org.codehaus.jackson:jackson-core-asl,52,444,102,0.12,0.51,0.51
org.apache.hadoop:hadoop-common,org.apache.logging.log4j:log4j-slf4j-impl,29,143,248,0.2,0.12,0.2
com.google.code.gson:gson,commons-lang:commons-lang,147,674,444,0.22,0.33,0.33
com.google.code.gson:gson,org.slf4j:slf4j-api,365,674,1420,0.54,0.26,0.54
org.apache.thrift:libthrift,org.eclipse.jetty:jetty-util,16,104,113,0.15,0.14,0.15
javax.activation:activation,org.apache.curator:curator-framework,8,105,119,0.08,0.07,0.08
org.junit.jupiter:junit-jupiter,org.slf4j:slf4j-api,72,157,1420,0.46,0.05,0.46
org.apache.commons:commons-pool2,org.awaitility:awaitility,14,117,161,0.12,0.09,0.12
net.java.dev.jna:jna,org.springframework:spring-jdbc,8,162,220,0.05,0.04,0.05
com.alibaba:druid,org.hsqldb:hsqldb,6,148,197,0.04,0.03,0.04
io.dropwizard.metrics:metrics-core,org.jsoup:jsoup,14,154,238,0.09,0.06,0.09
io.dropwizard.metrics:metrics-core,org.codehaus.jackson:jackson-core-asl,24,154,102,0.16,0.24,0.24
javax.xml.bind:jaxb-api,org.antlr:antlr4-runtime,27,305,116,0.09,0.23,0.23
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.httpcomponents:httpcore,37,110,268,0.34,0.14,0.34
org.apache.maven:maven-artifact,org.bouncycastle:bcprov-jdk15on,21,125,198,0.17,0.11,0.17
commons-fileupload:commons-fileupload,org.apache.lucene:lucene-core,41,245,140,0.17,0.29,0.29
io.springfox:springfox-swagger-ui,org.powermock:powermock-module-junit4,15,128,205,0.12,0.07,0.12
io.springfox:springfox-swagger-ui,org.apache.derby:derby,3,128,101,0.02,0.03,0.03
org.apache.commons:commons-collections4,org.bouncycastle:bcprov-jdk15on,45,232,198,0.19,0.23,0.23
org.apache.lucene:lucene-analyzers-common,org.elasticsearch:elasticsearch,23,110,125,0.21,0.18,0.21
org.apache.commons:commons-compress,org.projectlombok:lombok,37,244,435,0.15,0.09,0.15
commons-io:commons-io,org.springframework:spring-expression,72,1059,113,0.07,0.64,0.64
io.netty:netty-all,org.apache.commons:commons-csv,14,230,134,0.06,0.1,0.1
com.zaxxer:HikariCP,org.elasticsearch:elasticsearch,15,147,125,0.1,0.12,0.12
com.zaxxer:HikariCP,junit:junit,102,147,2290,0.69,0.04,0.69
org.hibernate.validator:hibernate-validator,org.springframework:spring-expression,16,101,113,0.16,0.14,0.16
cglib:cglib,org.easymock:easymock,22,135,183,0.16,0.12,0.16
org.junit.jupiter:junit-jupiter-params,org.mybatis.spring.boot:mybatis-spring-boot-starter,3,171,142,0.02,0.02,0.02
commons-cli:commons-cli,org.apache.hadoop:hadoop-common,71,384,143,0.18,0.5,0.5
org.apache.commons:commons-csv,org.postgresql:postgresql,31,134,251,0.23,0.12,0.23
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.google.inject:guice,28,125,192,0.22,0.15,0.22
commons-net:commons-net,junit:junit,86,129,2290,0.67,0.04,0.67
commons-net:commons-net,org.apache.commons:commons-pool2,20,129,117,0.16,0.17,0.17
commons-collections:commons-collections,org.quartz-scheduler:quartz,43,284,141,0.15,0.3,0.3
commons-collections:commons-collections,org.openjdk.jmh:jmh-generator-annprocess,18,284,202,0.06,0.09,0.09
commons-dbcp:commons-dbcp,org.hibernate:hibernate-core,46,124,191,0.37,0.24,0.37
com.thoughtworks.xstream:xstream,org.eclipse.jetty:jetty-util,16,127,113,0.13,0.14,0.14
commons-logging:commons-logging,org.mockito:mockito-junit-jupiter,19,370,118,0.05,0.16,0.16
commons-logging:commons-logging,redis.clients:jedis,43,370,184,0.12,0.23,0.23
org.aspectj:aspectjweaver,org.mybatis.spring.boot:mybatis-spring-boot-starter,21,171,142,0.12,0.15,0.15
org.apache.commons:commons-lang3,org.junit.jupiter:junit-jupiter-engine,121,994,344,0.12,0.35,0.35
org.eclipse.jetty:jetty-webapp,org.testcontainers:testcontainers,15,164,118,0.09,0.13,0.13
ch.qos.logback:logback-classic,javax.servlet.jsp:jsp-api,34,701,106,0.05,0.32,0.32
org.apache.velocity:velocity,org.junit.jupiter:junit-jupiter-params,11,125,171,0.09,0.06,0.09
commons-configuration:commons-configuration,org.codehaus.plexus:plexus-utils,15,149,144,0.1,0.1,0.1
commons-configuration:commons-configuration,org.apache.ant:ant,17,149,153,0.11,0.11,0.11
javax.ws.rs:javax.ws.rs-api,org.mongodb:mongo-java-driver,14,137,119,0.1,0.12,0.12
org.hibernate:hibernate-entitymanager,xerces:xercesImpl,14,108,113,0.13,0.12,0.13
javax.servlet:jstl,org.slf4j:slf4j-api,84,124,1420,0.68,0.06,0.68
com.fasterxml.jackson.core:jackson-databind,org.hsqldb:hsqldb,76,850,197,0.09,0.39,0.39
ch.qos.logback:logback-core,org.apache.httpcomponents:httpcore,54,227,268,0.24,0.2,0.24
com.fasterxml.jackson.core:jackson-annotations,org.postgresql:postgresql,83,448,251,0.19,0.33,0.33
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.plexus:plexus-utils,38,448,144,0.08,0.26,0.26
org.seleniumhq.selenium:selenium-java,org.slf4j:jcl-over-slf4j,17,100,312,0.17,0.05,0.17
javax.inject:javax.inject,org.apache.hadoop:hadoop-common,10,189,143,0.05,0.07,0.07
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.mockito:mockito-junit-jupiter,11,110,118,0.1,0.09,0.1
org.springframework:spring-aop,org.springframework:spring-test,130,180,341,0.72,0.38,0.72
org.scala-lang:scala-library,org.slf4j:jcl-over-slf4j,32,173,312,0.18,0.1,0.18
org.scala-lang:scala-library,org.slf4j:slf4j-log4j12,67,173,521,0.39,0.13,0.39
com.sun.xml.bind:jaxb-impl,javax.ws.rs:javax.ws.rs-api,26,162,137,0.16,0.19,0.19
com.sun.xml.bind:jaxb-impl,org.hamcrest:hamcrest-core,18,162,219,0.11,0.08,0.11
com.google.inject:guice,org.reflections:reflections,23,192,172,0.12,0.13,0.13
org.springframework.boot:spring-boot-starter-test,org.testcontainers:testcontainers,18,130,118,0.14,0.15,0.15
org.bouncycastle:bcpkix-jdk15on,org.springframework:spring-expression,10,155,113,0.06,0.09,0.09
org.apache.poi:poi,org.springframework:spring-aop,22,138,180,0.16,0.12,0.16
org.apache.poi:poi,org.reflections:reflections,14,138,172,0.1,0.08,0.1
org.mockito:mockito-junit-jupiter,org.slf4j:slf4j-api,79,118,1420,0.67,0.06,0.67
com.googlecode.json-simple:json-simple,org.springframework.boot:spring-boot-starter-web,6,157,145,0.04,0.04,0.04
com.googlecode.json-simple:json-simple,org.apache.commons:commons-text,20,157,188,0.13,0.11,0.13
com.jayway.jsonpath:json-path,org.hsqldb:hsqldb,15,129,197,0.12,0.08,0.12
com.jayway.jsonpath:json-path,org.springframework.boot:spring-boot-starter-test,12,129,130,0.09,0.09,0.09
org.apache.logging.log4j:log4j-core,org.springframework:spring-expression,32,397,113,0.08,0.28,0.28
org.apache.maven:maven-artifact,org.hamcrest:hamcrest,15,125,154,0.12,0.1,0.12
commons-lang:commons-lang,org.springframework.security:spring-security-web,36,444,100,0.08,0.36,0.36
commons-lang:commons-lang,org.springframework:spring-aop,57,444,180,0.13,0.32,0.32
org.apache.hadoop:hadoop-common,org.scala-lang:scala-library,40,143,173,0.28,0.23,0.28
javax.activation:activation,org.glassfish.jaxb:jaxb-runtime,31,105,147,0.3,0.21,0.3
org.easymock:easymock,org.springframework:spring-aop,29,183,180,0.16,0.16,0.16
org.easymock:easymock,org.yaml:snakeyaml,26,183,274,0.14,0.09,0.14
net.java.dev.jna:jna,org.apache.commons:commons-csv,17,162,134,0.1,0.13,0.13
net.java.dev.jna:jna,org.apache.commons:commons-math3,29,162,183,0.18,0.16,0.18
net.java.dev.jna:jna,org.apache.httpcomponents:httpcore,46,162,268,0.28,0.17,0.28
io.dropwizard.metrics:metrics-core,org.springframework:spring-aop,23,154,180,0.15,0.13,0.15
com.github.ben-manes.caffeine:caffeine,org.ow2.asm:asm,21,111,183,0.19,0.11,0.19
com.github.ben-manes.caffeine:caffeine,org.glassfish.jaxb:jaxb-runtime,15,111,147,0.14,0.1,0.14
com.github.ben-manes.caffeine:caffeine,org.yaml:snakeyaml,34,111,274,0.31,0.12,0.31
org.apache.avro:avro,org.hibernate:hibernate-core,13,121,191,0.11,0.07,0.11
org.json:json,org.projectlombok:lombok,32,232,435,0.14,0.07,0.14
org.json:json,org.seleniumhq.selenium:selenium-java,25,232,100,0.11,0.25,0.25
commons-fileupload:commons-fileupload,javax.inject:javax.inject,36,245,189,0.15,0.19,0.19
org.apache.logging.log4j:log4j-api,org.openjdk.jmh:jmh-generator-annprocess,35,321,202,0.11,0.17,0.17
com.zaxxer:HikariCP,org.mockito:mockito-all,23,147,367,0.16,0.06,0.16
org.hibernate.validator:hibernate-validator,org.junit.jupiter:junit-jupiter-api,15,101,288,0.15,0.05,0.15
cglib:cglib,org.slf4j:slf4j-api,90,135,1420,0.67,0.06,0.67
org.ow2.asm:asm,org.postgresql:postgresql,28,183,251,0.15,0.11,0.15
com.alibaba:fastjson,org.apache.thrift:libthrift,15,338,104,0.04,0.14,0.14
com.alibaba:fastjson,org.apache.maven:maven-core,8,338,192,0.02,0.04,0.04
org.apache.commons:commons-csv,org.mybatis:mybatis,5,134,126,0.04,0.04,0.04
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.googlecode.json-simple:json-simple,21,125,157,0.17,0.13,0.17
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.apache.commons:commons-pool2,16,125,117,0.13,0.14,0.14
commons-net:commons-net,org.apache.logging.log4j:log4j-api,33,129,321,0.26,0.1,0.26
commons-net:commons-net,org.springframework:spring-webmvc,24,129,265,0.19,0.09,0.19
commons-collections:commons-collections,javax.inject:javax.inject,28,284,189,0.1,0.15,0.15
javax.annotation:javax.annotation-api,org.freemarker:freemarker,21,244,153,0.09,0.14,0.14
javax.mail:mail,org.apache.commons:commons-text,18,156,188,0.12,0.1,0.12
com.thoughtworks.xstream:xstream,org.apache.httpcomponents:httpmime,21,127,148,0.17,0.14,0.17
io.netty:netty-handler,org.slf4j:slf4j-api,92,117,1420,0.79,0.06,0.79
org.hibernate:hibernate-core,org.openjdk.jmh:jmh-core,20,191,215,0.1,0.09,0.1
org.hibernate:hibernate-core,org.powermock:powermock-api-mockito2,7,191,105,0.04,0.07,0.07
org.apache.commons:commons-lang3,xerces:xercesImpl,58,994,113,0.06,0.51,0.51
org.awaitility:awaitility,org.bouncycastle:bcprov-jdk15on,21,161,198,0.13,0.11,0.13
org.apache.curator:curator-framework,org.eclipse.jetty:jetty-util,21,119,113,0.18,0.19,0.19
com.google.code.findbugs:jsr305,org.apache.commons:commons-compress,65,332,244,0.2,0.27,0.27
ch.qos.logback:logback-classic,javax.validation:validation-api,67,701,194,0.1,0.35,0.35
commons-configuration:commons-configuration,io.netty:netty-handler,11,149,117,0.07,0.09,0.09
commons-configuration:commons-configuration,javax.validation:validation-api,21,149,194,0.14,0.11,0.14
javax.ws.rs:javax.ws.rs-api,org.springframework:spring-expression,15,137,113,0.11,0.13,0.13
org.hamcrest:hamcrest-all,org.springframework:spring-web,34,236,289,0.14,0.12,0.14
javax.servlet:jstl,org.apache.httpcomponents:httpclient,53,124,680,0.43,0.08,0.43
com.jcraft:jsch,commons-io:commons-io,74,101,1059,0.73,0.07,0.73
com.jcraft:jsch,com.zaxxer:HikariCP,9,101,147,0.09,0.06,0.09
com.jcraft:jsch,javax.servlet:javax.servlet-api,34,101,491,0.34,0.07,0.34
com.fasterxml.jackson.core:jackson-databind,mysql:mysql-connector-java,210,850,536,0.25,0.39,0.39
com.squareup.okhttp3:okhttp,org.springframework:spring-test,30,232,341,0.13,0.09,0.13
com.fasterxml.jackson.core:jackson-annotations,com.h2database:h2,98,448,367,0.22,0.27,0.27
javax.inject:javax.inject,org.apache.commons:commons-math3,15,189,183,0.08,0.08,0.08
javax.inject:javax.inject,org.apache.maven.plugin-tools:maven-plugin-annotations,24,189,233,0.13,0.1,0.13
javax.inject:javax.inject,org.mockito:mockito-all,34,189,367,0.18,0.09,0.18
org.eclipse.jetty:jetty-util,org.projectlombok:lombok,14,113,435,0.12,0.03,0.12
org.slf4j:slf4j-log4j12,org.springframework:spring-jdbc,91,521,220,0.17,0.41,0.41
commons-beanutils:commons-beanutils,org.springframework.boot:spring-boot-starter-web,25,281,145,0.09,0.17,0.17
commons-beanutils:commons-beanutils,org.springframework:spring-core,88,281,337,0.31,0.26,0.31
com.google.protobuf:protobuf-java,io.netty:netty-handler,27,270,117,0.1,0.23,0.23
org.apache.logging.log4j:log4j-slf4j-impl,org.springframework:spring-jdbc,31,248,220,0.13,0.14,0.14
org.mockito:mockito-all,org.slf4j:log4j-over-slf4j,18,367,125,0.05,0.14,0.14
com.jayway.jsonpath:json-path,org.eclipse.jetty:jetty-util,17,129,113,0.13,0.15,0.15
junit:junit,org.apache.curator:curator-framework,87,2290,119,0.04,0.73,0.73
org.apache.logging.log4j:log4j-core,org.aspectj:aspectjrt,20,397,111,0.05,0.18,0.18
org.apache.logging.log4j:log4j-core,org.javassist:javassist,55,397,229,0.14,0.24,0.24
org.apache.logging.log4j:log4j-core,org.testng:testng,42,397,286,0.11,0.15,0.15
org.apache.maven:maven-artifact,org.springframework:spring-webmvc,10,125,265,0.08,0.04,0.08
commons-lang:commons-lang,org.eclipse.jetty:jetty-util,48,444,113,0.11,0.42,0.42
org.reflections:reflections,org.testng:testng,24,172,286,0.14,0.08,0.14
mysql:mysql-connector-java,xerces:xercesImpl,46,536,113,0.09,0.41,0.41
org.apache.curator:curator-recipes,org.jsoup:jsoup,9,131,238,0.07,0.04,0.07
org.apache.hadoop:hadoop-common,org.codehaus.plexus:plexus-utils,10,143,144,0.07,0.07,0.07
org.apache.httpcomponents:httpcore,org.ow2.asm:asm,37,268,183,0.14,0.2,0.2
javax.activation:activation,org.slf4j:slf4j-jdk14,9,105,110,0.09,0.08,0.09
org.apache.commons:commons-pool2,org.apache.poi:poi-ooxml,14,117,146,0.12,0.1,0.12
com.alibaba:druid,com.fasterxml.jackson.core:jackson-core,28,148,538,0.19,0.05,0.19
com.github.ben-manes.caffeine:caffeine,org.eclipse.jetty:jetty-server,27,111,265,0.24,0.1,0.24
com.github.ben-manes.caffeine:caffeine,org.mockito:mockito-junit-jupiter,18,111,118,0.16,0.15,0.16
io.springfox:springfox-swagger2,org.javassist:javassist,10,142,229,0.07,0.04,0.07
org.apache.maven:maven-core,org.powermock:powermock-api-mockito2,14,192,105,0.07,0.13,0.13
javax.xml.bind:jaxb-api,org.mybatis.spring.boot:mybatis-spring-boot-starter,6,305,142,0.02,0.04,0.04
org.hamcrest:hamcrest,org.hibernate.validator:hibernate-validator,15,154,101,0.1,0.15,0.15
org.eclipse.jetty:jetty-server,org.springframework.security:spring-security-web,29,265,100,0.11,0.29,0.29
org.eclipse.jetty:jetty-server,org.reflections:reflections,40,265,172,0.15,0.23,0.23
org.assertj:assertj-core,org.slf4j:slf4j-log4j12,65,462,521,0.14,0.12,0.14
org.assertj:assertj-core,org.glassfish.jaxb:jaxb-runtime,39,462,147,0.08,0.27,0.27
io.springfox:springfox-swagger-ui,org.quartz-scheduler:quartz,11,128,141,0.09,0.08,0.09
org.springframework.security:spring-security-web,org.springframework:spring-test,66,100,341,0.66,0.19,0.66
com.h2database:h2,org.assertj:assertj-core,83,367,462,0.23,0.18,0.23
com.h2database:h2,org.antlr:antlr4-runtime,36,367,116,0.1,0.31,0.31
com.h2database:h2,org.springframework:spring-orm,53,367,126,0.14,0.42,0.42
com.h2database:h2,org.apache.logging.log4j:log4j-core,75,367,397,0.2,0.19,0.2
org.apache.lucene:lucene-analyzers-common,org.eclipse.jetty:jetty-server,28,110,265,0.25,0.11,0.25
cglib:cglib,org.junit.jupiter:junit-jupiter,3,135,157,0.02,0.02,0.02
com.alibaba:fastjson,org.apache.commons:commons-compress,25,338,244,0.07,0.1,0.1
com.alibaba:fastjson,org.jsoup:jsoup,38,338,238,0.11,0.16,0.16
com.alibaba:fastjson,org.apache.hadoop:hadoop-common,14,338,143,0.04,0.1,0.1
org.apache.commons:commons-csv,org.apache.commons:commons-text,34,134,188,0.25,0.18,0.25
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.hibernate:hibernate-validator,20,125,150,0.16,0.13,0.16
org.codehaus.groovy:groovy-all,org.eclipse.jetty:jetty-servlet,23,119,203,0.19,0.11,0.19
javax.mail:mail,org.junit.vintage:junit-vintage-engine,6,156,122,0.04,0.05,0.05
org.apache.lucene:lucene-core,org.hibernate:hibernate-entitymanager,13,140,108,0.09,0.12,0.12
org.apache.commons:commons-math3,org.reflections:reflections,35,183,172,0.19,0.2,0.2
io.netty:netty-handler,org.apache.lucene:lucene-core,7,117,140,0.06,0.05,0.06
commons-logging:commons-logging,org.hibernate.validator:hibernate-validator,24,370,101,0.06,0.24,0.24
org.apache.commons:commons-lang3,org.apache.httpcomponents:httpmime,82,994,148,0.08,0.55,0.55
org.apache.zookeeper:zookeeper,org.mybatis.spring.boot:mybatis-spring-boot-starter,32,193,142,0.17,0.23,0.23
org.awaitility:awaitility,org.mongodb:mongo-java-driver,10,161,119,0.06,0.08,0.08
org.awaitility:awaitility,org.eclipse.jetty:jetty-util,16,161,113,0.1,0.14,0.14
org.apache.curator:curator-framework,org.junit.jupiter:junit-jupiter,3,119,157,0.03,0.02,0.03
org.apache.velocity:velocity,org.eclipse.jetty:jetty-webapp,14,125,164,0.11,0.09,0.11
javax.ws.rs:javax.ws.rs-api,org.projectlombok:lombok,19,137,435,0.14,0.04,0.14
javax.ws.rs:javax.ws.rs-api,org.apache.commons:commons-collections4,26,137,232,0.19,0.11,0.19
org.hamcrest:hamcrest-all,org.slf4j:jcl-over-slf4j,45,236,312,0.19,0.14,0.19
javax.servlet:jstl,org.awaitility:awaitility,4,124,161,0.03,0.02,0.03
commons-httpclient:commons-httpclient,org.apache.logging.log4j:log4j-slf4j-impl,20,139,248,0.14,0.08,0.14
org.apache.commons:commons-text,org.springframework.security:spring-security-web,25,188,100,0.13,0.25,0.25
com.squareup.okhttp3:okhttp,javax.servlet:javax.servlet-api,54,232,491,0.23,0.11,0.23
ch.qos.logback:logback-core,org.apache.zookeeper:zookeeper,35,227,193,0.15,0.18,0.18
com.google.guava:guava,org.eclipse.jetty:jetty-server,171,1199,265,0.14,0.65,0.65
com.google.guava:guava,org.apache.logging.log4j:log4j-api,175,1199,321,0.15,0.55,0.55
javax.servlet.jsp:jsp-api,org.aspectj:aspectjweaver,26,106,171,0.25,0.15,0.25
javax.servlet:javax.servlet-api,org.json:json,65,491,232,0.13,0.28,0.28
javax.validation:validation-api,org.springframework:spring-jdbc,42,194,220,0.22,0.19,0.22
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.codehaus.plexus:plexus-utils,15,110,144,0.14,0.1,0.14
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.junit.jupiter:junit-jupiter-engine,26,110,344,0.24,0.08,0.24
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.slf4j:slf4j-api,83,110,1420,0.75,0.06,0.75
org.antlr:antlr4-runtime,org.apache.zookeeper:zookeeper,25,116,193,0.22,0.13,0.22
org.antlr:antlr4-runtime,org.seleniumhq.selenium:selenium-java,4,116,100,0.03,0.04,0.04
org.hamcrest:hamcrest-core,org.springframework.boot:spring-boot-starter-test,12,219,130,0.05,0.09,0.09
commons-beanutils:commons-beanutils,javax.ws.rs:javax.ws.rs-api,38,281,137,0.14,0.28,0.28
org.mybatis:mybatis,org.testcontainers:testcontainers,4,126,118,0.03,0.03,0.03
com.fasterxml.jackson.core:jackson-core,org.hibernate:hibernate-entitymanager,36,538,108,0.07,0.33,0.33
org.apache.logging.log4j:log4j-slf4j-impl,org.codehaus.jackson:jackson-core-asl,16,248,102,0.06,0.16,0.16
joda-time:joda-time,org.apache.logging.log4j:log4j-api,59,381,321,0.15,0.18,0.18
jakarta.xml.bind:jakarta.xml.bind-api,org.hibernate:hibernate-validator,11,114,150,0.1,0.07,0.1
jakarta.xml.bind:jakarta.xml.bind-api,javax.mail:mail,7,114,156,0.06,0.04,0.06
jakarta.xml.bind:jakarta.xml.bind-api,javax.ws.rs:javax.ws.rs-api,20,114,137,0.18,0.15,0.18
org.springframework:spring-orm,xerces:xercesImpl,14,126,113,0.11,0.12,0.12
com.jayway.jsonpath:json-path,commons-net:commons-net,23,129,129,0.18,0.18,0.18
commons-codec:commons-codec,org.jsoup:jsoup,88,596,238,0.15,0.37,0.37
commons-codec:commons-codec,org.hibernate:hibernate-entitymanager,39,596,108,0.07,0.36,0.36
org.apache.logging.log4j:log4j-core,org.springframework:spring-context-support,46,397,155,0.12,0.3,0.3
org.apache.maven:maven-artifact,org.apache.maven:maven-plugin-api,92,125,267,0.74,0.34,0.74
org.junit.jupiter:junit-jupiter-engine,org.springframework:spring-orm,19,344,126,0.06,0.15,0.15
org.apache.hadoop:hadoop-common,redis.clients:jedis,19,143,184,0.13,0.1,0.13
org.apache.hadoop:hadoop-common,org.springframework:spring-test,25,143,341,0.17,0.07,0.17
com.google.code.gson:gson,org.elasticsearch:elasticsearch,43,674,125,0.06,0.34,0.34
org.apache.httpcomponents:httpcore,org.mybatis.spring.boot:mybatis-spring-boot-starter,12,268,142,0.04,0.08,0.08
org.apache.commons:commons-pool2,org.quartz-scheduler:quartz,21,117,141,0.18,0.15,0.18
net.java.dev.jna:jna,org.springframework.security:spring-security-web,10,162,100,0.06,0.1,0.1
com.alibaba:druid,org.apache.poi:poi,27,148,138,0.18,0.2,0.2
io.dropwizard.metrics:metrics-core,org.apache.lucene:lucene-core,13,154,140,0.08,0.09,0.09
io.dropwizard.metrics:metrics-core,org.testcontainers:testcontainers,20,154,118,0.13,0.17,0.17
io.springfox:springfox-swagger2,org.codehaus.jackson:jackson-mapper-asl,2,142,155,0.01,0.01,0.01
io.springfox:springfox-swagger2,org.eclipse.jetty:jetty-util,2,142,113,0.01,0.02,0.02
io.springfox:springfox-swagger2,org.slf4j:log4j-over-slf4j,9,142,125,0.06,0.07,0.07
org.hamcrest:hamcrest,org.slf4j:slf4j-log4j12,21,154,521,0.14,0.04,0.14
org.slf4j:log4j-over-slf4j,org.springframework:spring-jdbc,25,125,220,0.2,0.11,0.2
org.openjdk.jmh:jmh-generator-annprocess,org.springframework:spring-context-support,10,202,155,0.05,0.06,0.06
javax.xml.bind:jaxb-api,org.scala-lang:scala-library,27,305,173,0.09,0.16,0.16
org.json:json,org.springframework:spring-jdbc,29,232,220,0.13,0.13,0.13
org.aspectj:aspectjrt,org.testcontainers:testcontainers,5,111,118,0.05,0.04,0.05
org.aspectj:aspectjrt,org.seleniumhq.selenium:selenium-java,7,111,100,0.06,0.07,0.07
org.assertj:assertj-core,org.hamcrest:hamcrest-core,46,462,219,0.1,0.21,0.21
io.springfox:springfox-swagger-ui,org.javassist:javassist,10,128,229,0.08,0.04,0.08
io.springfox:springfox-swagger-ui,org.apache.maven:maven-artifact,4,128,125,0.03,0.03,0.03
javax.servlet:servlet-api,org.codehaus.groovy:groovy-all,29,265,119,0.11,0.24,0.24
javax.servlet:servlet-api,org.eclipse.jetty:jetty-util,19,265,113,0.07,0.17,0.17
org.apache.httpcomponents:httpclient,org.seleniumhq.selenium:selenium-java,47,680,100,0.07,0.47,0.47
com.h2database:h2,org.bouncycastle:bcprov-jdk15on,35,367,198,0.1,0.18,0.18
org.apache.commons:commons-collections4,org.junit.jupiter:junit-jupiter-params,26,232,171,0.11,0.15,0.15
log4j:log4j,org.hamcrest:hamcrest,16,483,154,0.03,0.1,0.1
commons-validator:commons-validator,org.mockito:mockito-all,23,108,367,0.21,0.06,0.21
